# This file contains the cross section for particles into the FORWARD hemisphere only
# Normalization:	4511672068055.184	 pb
# PID:	321
# log10(theta)	log10(p/GeV)	cross-section[pb/bin]
-7.025	1.775	0
-7.025	1.825	0
-7.025	1.875	0
-7.025	1.925	0
-7.025	1.975	0
-7.025	2.025	0
-7.025	2.075	0
-7.025	2.125	0
-7.025	2.175	0
-7.025	2.225	0
-7.025	2.275	0
-7.025	2.325	0
-7.025	2.375	0
-7.025	2.425	0
-7.025	2.475	0
-7.025	2.525	0
-7.025	2.575	0
-7.025	2.625	0
-6.975	-1.975	0
-6.975	-1.925	0
-6.975	-1.875	0
-6.975	-1.825	0
-6.975	-1.775	0
-6.975	-1.725	0
-6.975	-1.675	0
-6.975	-1.625	0
-6.975	-1.575	0
-6.975	-1.525	0
-6.975	-1.475	0
-6.975	-1.425	0
-6.975	-1.375	0
-6.975	-1.325	0
-6.975	-1.275	0
-6.975	-1.225	0
-6.975	-1.175	0
-6.975	-1.125	0
-6.975	-1.075	0
-6.975	-1.025	0
-6.975	-0.975	0
-6.975	-0.925	0
-6.975	-0.875	0
-6.975	-0.825	0
-6.975	-0.775	0
-6.975	-0.725	0
-6.975	-0.675	0
-6.975	-0.625	0
-6.975	-0.575	0
-6.975	-0.525	0
-6.975	-0.475	0
-6.975	-0.425	0
-6.975	-0.375	0
-6.975	-0.325	0
-6.975	-0.275	0
-6.975	-0.225	0
-6.975	-0.175	0
-6.975	-0.125	0
-6.975	-0.0749999999999999	0
-6.975	-0.0249999999999999	0
-6.975	0.0250000000000001	0
-6.975	0.0750000000000001	0
-6.975	0.125	0
-6.975	0.175	0
-6.975	0.225	0
-6.975	0.275	0
-6.975	0.325	0
-6.975	0.375	0
-6.975	0.425	0
-6.975	0.475	0
-6.975	0.525	0
-6.975	0.575	0
-6.975	0.625	0
-6.975	0.675	0
-6.975	0.725	0
-6.975	0.775	0
-6.975	0.825	0
-6.975	0.875	0
-6.975	0.925	0
-6.975	0.975	0
-6.975	1.025	0
-6.975	1.075	0
-6.975	1.125	0
-6.975	1.175	0
-6.975	1.225	0
-6.975	1.275	0
-6.975	1.325	0
-6.975	1.375	0
-6.975	1.425	0
-6.975	1.475	0
-6.975	1.525	0
-6.975	1.575	0
-6.975	1.625	0
-6.975	1.675	0
-6.975	1.725	0
-6.975	1.775	0
-6.975	1.825	0
-6.975	1.875	0
-6.975	1.925	0
-6.975	1.975	0
-6.975	2.025	0
-6.975	2.075	0
-6.975	2.125	0
-6.975	2.175	0
-6.975	2.225	0
-6.975	2.275	0
-6.975	2.325	0
-6.975	2.375	0
-6.975	2.425	0
-6.975	2.475	0
-6.975	2.525	0
-6.975	2.575	0
-6.975	2.625	0
-6.925	-1.975	0
-6.925	-1.925	0
-6.925	-1.875	0
-6.925	-1.825	0
-6.925	-1.775	0
-6.925	-1.725	0
-6.925	-1.675	0
-6.925	-1.625	0
-6.925	-1.575	0
-6.925	-1.525	0
-6.925	-1.475	0
-6.925	-1.425	0
-6.925	-1.375	0
-6.925	-1.325	0
-6.925	-1.275	0
-6.925	-1.225	0
-6.925	-1.175	0
-6.925	-1.125	0
-6.925	-1.075	0
-6.925	-1.025	0
-6.925	-0.975	0
-6.925	-0.925	0
-6.925	-0.875	0
-6.925	-0.825	0
-6.925	-0.775	0
-6.925	-0.725	0
-6.925	-0.675	0
-6.925	-0.625	0
-6.925	-0.575	0
-6.925	-0.525	0
-6.925	-0.475	0
-6.925	-0.425	0
-6.925	-0.375	0
-6.925	-0.325	0
-6.925	-0.275	0
-6.925	-0.225	0
-6.925	-0.175	0
-6.925	-0.125	0
-6.925	-0.0749999999999999	0
-6.925	-0.0249999999999999	0
-6.925	0.0250000000000001	0
-6.925	0.0750000000000001	0
-6.925	0.125	0
-6.925	0.175	0
-6.925	0.225	0
-6.925	0.275	0
-6.925	0.325	0
-6.925	0.375	0
-6.925	0.425	0
-6.925	0.475	0
-6.925	0.525	0
-6.925	0.575	0
-6.925	0.625	0
-6.925	0.675	0
-6.925	0.725	0
-6.925	0.775	0
-6.925	0.825	0
-6.925	0.875	0
-6.925	0.925	0
-6.925	0.975	0
-6.925	1.025	0
-6.925	1.075	0
-6.925	1.125	0
-6.925	1.175	0
-6.925	1.225	0
-6.925	1.275	0
-6.925	1.325	0
-6.925	1.375	0
-6.925	1.425	0
-6.925	1.475	0
-6.925	1.525	0
-6.925	1.575	0
-6.925	1.625	0
-6.925	1.675	0
-6.925	1.725	0
-6.925	1.775	0
-6.925	1.825	0
-6.925	1.875	0
-6.925	1.925	0
-6.925	1.975	0
-6.925	2.025	0
-6.925	2.075	0
-6.925	2.125	0
-6.925	2.175	0
-6.925	2.225	0
-6.925	2.275	0
-6.925	2.325	0
-6.925	2.375	0
-6.925	2.425	0
-6.925	2.475	0
-6.925	2.525	0
-6.925	2.575	0
-6.925	2.625	0
-6.875	-1.975	0
-6.875	-1.925	0
-6.875	-1.875	0
-6.875	-1.825	0
-6.875	-1.775	0
-6.875	-1.725	0
-6.875	-1.675	0
-6.875	-1.625	0
-6.875	-1.575	0
-6.875	-1.525	0
-6.875	-1.475	0
-6.875	-1.425	0
-6.875	-1.375	0
-6.875	-1.325	0
-6.875	-1.275	0
-6.875	-1.225	0
-6.875	-1.175	0
-6.875	-1.125	0
-6.875	-1.075	0
-6.875	-1.025	0
-6.875	-0.975	0
-6.875	-0.925	0
-6.875	-0.875	0
-6.875	-0.825	0
-6.875	-0.775	0
-6.875	-0.725	0
-6.875	-0.675	0
-6.875	-0.625	0
-6.875	-0.575	0
-6.875	-0.525	0
-6.875	-0.475	0
-6.875	-0.425	0
-6.875	-0.375	0
-6.875	-0.325	0
-6.875	-0.275	0
-6.875	-0.225	0
-6.875	-0.175	0
-6.875	-0.125	0
-6.875	-0.0749999999999999	0
-6.875	-0.0249999999999999	0
-6.875	0.0250000000000001	0
-6.875	0.0750000000000001	0
-6.875	0.125	0
-6.875	0.175	0
-6.875	0.225	0
-6.875	0.275	0
-6.875	0.325	0
-6.875	0.375	0
-6.875	0.425	0
-6.875	0.475	0
-6.875	0.525	0
-6.875	0.575	0
-6.875	0.625	0
-6.875	0.675	0
-6.875	0.725	0
-6.875	0.775	0
-6.875	0.825	0
-6.875	0.875	0
-6.875	0.925	0
-6.875	0.975	0
-6.875	1.025	0
-6.875	1.075	0
-6.875	1.125	0
-6.875	1.175	0
-6.875	1.225	0
-6.875	1.275	0
-6.875	1.325	0
-6.875	1.375	0
-6.875	1.425	0
-6.875	1.475	0
-6.875	1.525	0
-6.875	1.575	0
-6.875	1.625	0
-6.875	1.675	0
-6.875	1.725	0
-6.875	1.775	0
-6.875	1.825	0
-6.875	1.875	0
-6.875	1.925	0
-6.875	1.975	0
-6.875	2.025	0
-6.875	2.075	0
-6.875	2.125	0
-6.875	2.175	0
-6.875	2.225	0
-6.875	2.275	0
-6.875	2.325	0
-6.875	2.375	0
-6.875	2.425	0
-6.875	2.475	0
-6.875	2.525	0
-6.875	2.575	0
-6.875	2.625	0
-6.825	-1.975	0
-6.825	-1.925	0
-6.825	-1.875	0
-6.825	-1.825	0
-6.825	-1.775	0
-6.825	-1.725	0
-6.825	-1.675	0
-6.825	-1.625	0
-6.825	-1.575	0
-6.825	-1.525	0
-6.825	-1.475	0
-6.825	-1.425	0
-6.825	-1.375	0
-6.825	-1.325	0
-6.825	-1.275	0
-6.825	-1.225	0
-6.825	-1.175	0
-6.825	-1.125	0
-6.825	-1.075	0
-6.825	-1.025	0
-6.825	-0.975	0
-6.825	-0.925	0
-6.825	-0.875	0
-6.825	-0.825	0
-6.825	-0.775	0
-6.825	-0.725	0
-6.825	-0.675	0
-6.825	-0.625	0
-6.825	-0.575	0
-6.825	-0.525	0
-6.825	-0.475	0
-6.825	-0.425	0
-6.825	-0.375	0
-6.825	-0.325	0
-6.825	-0.275	0
-6.825	-0.225	0
-6.825	-0.175	0
-6.825	-0.125	0
-6.825	-0.0749999999999999	0
-6.825	-0.0249999999999999	0
-6.825	0.0250000000000001	0
-6.825	0.0750000000000001	0
-6.825	0.125	0
-6.825	0.175	0
-6.825	0.225	0
-6.825	0.275	0
-6.825	0.325	0
-6.825	0.375	0
-6.825	0.425	0
-6.825	0.475	0
-6.825	0.525	0
-6.825	0.575	0
-6.825	0.625	0
-6.825	0.675	0
-6.825	0.725	0
-6.825	0.775	0
-6.825	0.825	0
-6.825	0.875	0
-6.825	0.925	0
-6.825	0.975	0
-6.825	1.025	0
-6.825	1.075	0
-6.825	1.125	0
-6.825	1.175	0
-6.825	1.225	0
-6.825	1.275	0
-6.825	1.325	0
-6.825	1.375	0
-6.825	1.425	0
-6.825	1.475	0
-6.825	1.525	0
-6.825	1.575	0
-6.825	1.625	0
-6.825	1.675	0
-6.825	1.725	0
-6.825	1.775	0
-6.825	1.825	0
-6.825	1.875	0
-6.825	1.925	0
-6.825	1.975	0
-6.825	2.025	0
-6.825	2.075	0
-6.825	2.125	0
-6.825	2.175	0
-6.825	2.225	0
-6.825	2.275	0
-6.825	2.325	0
-6.825	2.375	0
-6.825	2.425	0
-6.825	2.475	0
-6.825	2.525	0
-6.825	2.575	0
-6.825	2.625	0
-6.775	-1.975	0
-6.775	-1.925	0
-6.775	-1.875	0
-6.775	-1.825	0
-6.775	-1.775	0
-6.775	-1.725	0
-6.775	-1.675	0
-6.775	-1.625	0
-6.775	-1.575	0
-6.775	-1.525	0
-6.775	-1.475	0
-6.775	-1.425	0
-6.775	-1.375	0
-6.775	-1.325	0
-6.775	-1.275	0
-6.775	-1.225	0
-6.775	-1.175	0
-6.775	-1.125	0
-6.775	-1.075	0
-6.775	-1.025	0
-6.775	-0.975	0
-6.775	-0.925	0
-6.775	-0.875	0
-6.775	-0.825	0
-6.775	-0.775	0
-6.775	-0.725	0
-6.775	-0.675	0
-6.775	-0.625	0
-6.775	-0.575	0
-6.775	-0.525	0
-6.775	-0.475	0
-6.775	-0.425	0
-6.775	-0.375	0
-6.775	-0.325	0
-6.775	-0.275	0
-6.775	-0.225	0
-6.775	-0.175	0
-6.775	-0.125	0
-6.775	-0.0749999999999999	0
-6.775	-0.0249999999999999	0
-6.775	0.0250000000000001	0
-6.775	0.0750000000000001	0
-6.775	0.125	0
-6.775	0.175	0
-6.775	0.225	0
-6.775	0.275	0
-6.775	0.325	0
-6.775	0.375	0
-6.775	0.425	0
-6.775	0.475	0
-6.775	0.525	0
-6.775	0.575	0
-6.775	0.625	0
-6.775	0.675	0
-6.775	0.725	0
-6.775	0.775	0
-6.775	0.825	0
-6.775	0.875	0
-6.775	0.925	0
-6.775	0.975	0
-6.775	1.025	0
-6.775	1.075	0
-6.775	1.125	0
-6.775	1.175	0
-6.775	1.225	0
-6.775	1.275	0
-6.775	1.325	0
-6.775	1.375	0
-6.775	1.425	0
-6.775	1.475	0
-6.775	1.525	0
-6.775	1.575	0
-6.775	1.625	0
-6.775	1.675	0
-6.775	1.725	0
-6.775	1.775	0
-6.775	1.825	0
-6.775	1.875	0
-6.775	1.925	0
-6.775	1.975	0
-6.775	2.025	0
-6.775	2.075	0
-6.775	2.125	0
-6.775	2.175	0
-6.775	2.225	0
-6.775	2.275	0
-6.775	2.325	0
-6.775	2.375	0
-6.775	2.425	0
-6.775	2.475	0
-6.775	2.525	0
-6.775	2.575	0
-6.775	2.625	0
-6.725	-1.975	0
-6.725	-1.925	0
